year,month,gold_rate_24k,gold_rate_22k,silver_rate,gold_monthly_base,silver_monthly_base
2022,1,4829.62,4426.83,62.52,4820,62.5
2022,2,4953.25,4540.15,63.57,4950,64.2
2022,3,5265.82,4826.65,68.63,5280,68.5
2022,4,5242.16,4804.97,67.83,5240,67.8
2022,5,5116.81,4690.06,64.41,5120,64.5
2022,6,5161.29,4730.84,62.6,5180,62.8
2022,7,5158.72,4728.49,58.39,5150,58.2
2022,8,5194.12,4760.93,55.95,5190,55.8
2022,9,5009.78,4591.96,52.49,5010,52.5
2022,10,5067.8,4645.14,55.27,5080,55.2
2022,11,5253.42,4815.29,58.75,5260,58.8
2022,12,5452.01,4997.31,60.12,5450,60.5
2023,1,5582.73,5117.13,68.55,5580,68.5
2023,2,5612.8,5144.7,65.94,5620,65.8
2023,3,5856.9,5368.43,67.08,5850,67.2
2023,4,6081.32,5574.14,74.54,6080,74.5
2023,5,6154.44,5641.16,76.98,6150,76.8
2023,6,6001.64,5501.1,72.66,5980,72.5
2023,7,5937.45,5442.27,73.73,5920,74.2
2023,8,5936.77,5441.65,74.1,5950,73.8
2023,9,5884.38,5393.63,72.69,5880,72.5
2023,10,6036.29,5532.87,74.81,6050,74.8
2023,11,6235.34,5715.31,76.54,6220,76.5
2023,12,6351.07,5821.39,77.88,6350,78.2
2024,1,6315.95,5789.2,72.64,6320,72.5
2024,2,6279.66,5755.93,74.33,6280,74.2
2024,3,6642.33,6088.36,78.28,6650,78.5
2024,4,7256.05,6650.9,83.23,7250,82.8
2024,5,7408.8,6790.9,92.16,7420,92.5
2024,6,7294.78,6686.4,88.28,7280,88.5
2024,7,7333.04,6721.47,89.09,7350,89.8
2024,8,7535.87,6907.38,86.24,7520,86.5
2024,9,7794.15,7144.11,89.02,7780,88.2
2024,10,7994.31,7327.59,96.4,7950,96.0
2024,11,7827.94,7175.09,93.9,7820,94.5
2024,12,7902.07,7243.03,92.55,7880,92.8
