sales_month,month_name,forecasted_revenue,estimated_items,order_by_date,priority
2025-01,Jan,2111871.0404375033,703,2024-12-22,NORMAL
2025-02,Feb,2567704.4984926307,855,2025-01-22,NORMAL
2025-03,Mar,2623360.497879556,874,2025-02-19,NORMAL
2025-04,Apr,4571096.215529019,1523,2025-03-22,HIGH
2025-05,May,5387643.848346143,1795,2025-04-21,HIGH
2025-06,Jun,3844045.580691734,1281,2025-05-22,NORMAL
2025-07,Jul,1504660.3777274166,501,2025-06-21,NORMAL
2025-08,Aug,2124636.8073933516,708,2025-07-22,NORMAL
2025-09,Sep,2805649.6677502226,935,2025-08-22,NORMAL
2025-10,Oct,4796225.628085201,1598,2025-09-21,HIGH
2025-11,Nov,6353380.986952691,2117,2025-10-22,HIGH
2025-12,Dec,2732368.6008045287,910,2025-11-21,NORMAL
